Constituency_Number,Constituency_Name,ONS_Code,Constituency_Code,Number_Of_Seats,Voting_Age_Pop,Total_Poll,Spoiled,Valid_Poll,Quota,Total_Electorate,Turnout_pct,Directory
2,Belfast East,N06000001,BE,6,74065,37623,448,37175,5311,65740,57.23,belfast-east
10,Belfast North,N06000002,BN,6,78914,37193,619,36574,5225,70872,52.48,belfast-north
13,Belfast South,N06000003,BS,6,91756,37147,424,36723,5247,68469,54.25,belfast-south
17,Belfast West,N06000004,BW,6,69817,36990,722,36268,5182,63993,57.8,belfast-west
1,East Antrim,N06000005,EA,6,70652,32744,333,32411,4631,64194,51.01,east-antrim
3,East Londonderry,N06000006,EL,6,77437,34848,449,34399,4915,68600,50.8,east-londonderry
4,Fermanagh and South Tyrone,N06000007,FT,6,79405,47934,741,47918,6740,74257,64.55,fermanagh-south-tyrone
5,Foyle,N06000008,FY,6,76503,40187,485,39702,5672,71759,56,foyle
6,Lagan Valley,N06000009,LV,6,80833,39227,374,38853,5551,73746,53.19,lagan-valley
7,Mid Ulster,N06000010,MU,6,75342,41381,633,40748,5822,70430,58.75,mid-ulster
8,Newry and Armagh,N06000011,NYA,6,85884,48498,783,47715,6817,81756,59.32,newry-armagh
9,North Antrim,N06000012,NA,6,85122,41464,466,40998,5857,78337,52.93,north-antrim
11,North Down,N06000013,ND,6,71239,32597,368,32229,4605,65760,49.57,north-down
12,South Antrim,N06000014,SA,6,76066,35544,411,35133,5020,69680,51.01,south-antrim
14,South Down,N06000015,SD,6,82463,41645,570,41075,5868,77409,53.8,south-down
15,Strangford,N06000016,ST,6,70598,33014,375,32639,4663,65695,50.25,strangford
16,Upper Bann,N06000017,UB,6,92012,46383,697,45686,6527,85204,54.44,upper-bann
18,West Tyrone,N06000018,WT,6,69229,39325,516,38809,5545,65694,59.86,west-tyrone
